country,day_in_year,trousers,skirts,blouses,sale,avg_price,last_product_price
21,92,2,3,1,0,47.5,57
24,92,1,5,0,0,48.333333333333336,57
31,92,1,0,0,0,43.0,43
9,92,0,0,5,0,39.0,48
24,92,0,14,0,0,56.92857142857143,67
24,92,4,0,0,0,45.75,33
24,92,2,1,0,0,39.666666666666664,43
24,92,10,6,5,0,44.904761904761905,48
24,92,1,1,0,0,47.5,52
24,92,2,2,8,0,47.75,52
41,92,0,3,0,0,50.666666666666664,57
9,92,1,0,0,0,33.0,33
29,92,0,0,1,0,48.0,48
29,92,1,0,0,0,38.0,38
29,92,4,0,0,3,41.42857142857143,48
29,92,0,1,0,0,52.0,52
29,92,2,0,2,11,40.333333333333336,43
29,92,0,6,0,0,46.666666666666664,52
9,92,0,0,1,0,33.0,33
29,92,4,0,0,8,38.75,43
29,92,1,0,1,1,39.666666666666664,43
29,92,0,6,0,2,45.125,38
29,92,4,2,3,1,46.2,38
29,92,0,0,3,6,41.333333333333336,43
9,92,0,3,1,0,52.5,48
24,92,0,0,1,0,28.0,28
24,92,4,7,3,0,43.07142857142857,57
41,92,3,0,0,1,44.0,38
29,92,0,0,3,3,39.666666666666664,48
29,92,0,0,1,0,50.0,50
29,92,0,0,0,1,38.0,38
29,92,1,1,2,1,43.8,28
24,92,1,0,0,0,38.0,38
24,92,1,0,0,0,43.0,43
29,92,4,3,0,6,45.38461538461539,57
9,92,0,0,2,0,48.0,48
9,92,1,3,1,0,48.4,38
21,92,0,0,0,1,43.0,43
21,92,0,0,1,0,28.0,28
29,92,0,6,0,3,46.55555555555556,38
29,92,3,0,4,5,37.583333333333336,38
29,92,0,1,0,0,57.0,57
29,92,1,0,2,1,41.75,48
9,92,4,0,0,0,38.0,38
29,92,0,3,0,0,60.333333333333336,52
29,92,0,2,0,0,59.5,67
29,92,0,0,0,2,51.5,38
29,92,5,2,3,17,36.51851851851852,28
29,92,1,0,0,5,40.333333333333336,28
29,92,3,2,0,0,46.6,62
29,92,1,0,1,6,41.0,43
29,92,0,1,0,0,62.0,62
29,92,1,5,0,2,44.625,43
24,92,1,6,2,0,49.77777777777778,48
24,92,3,0,0,0,38.0,48
9,92,1,0,1,0,35.5,38
9,92,2,1,0,0,52.333333333333336,57
29,92,0,0,1,0,38.0,38
29,92,1,0,0,0,38.0,38
9,92,6,1,3,0,50.6,62
9,92,3,4,0,0,51.57142857142857,52
29,92,4,2,2,0,36.75,33
29,92,2,0,0,1,39.666666666666664,38
29,92,0,0,2,6,36.75,43
29,92,3,1,1,2,44.0,33
29,92,12,22,2,2,45.921052631578945,38
29,92,0,0,2,0,38.0,28
29,92,4,0,2,0,39.166666666666664,43
29,92,0,0,1,0,28.0,28
29,92,0,0,1,0,33.0,33
29,92,0,0,0,6,35.5,28
29,92,0,0,3,0,43.0,33
29,92,2,4,3,0,47.55555555555556,28
29,92,0,4,0,0,56.0,57
29,92,1,0,1,0,35.5,28
29,92,0,0,1,3,36.75,38
29,92,1,0,0,0,62.0,62
29,92,3,0,0,0,41.333333333333336,43
29,92,11,0,0,4,47.46666666666667,43
29,92,2,1,0,3,51.666666666666664,38
29,92,2,0,0,2,38.0,38
29,92,2,0,2,0,34.25,48
29,92,0,0,2,2,41.5,57
29,92,0,0,2,3,41.8,28
29,92,0,1,0,2,44.333333333333336,38
29,92,2,1,1,0,55.5,50
29,92,11,2,6,0,47.421052631578945,38
29,92,0,0,0,1,38.0,38
29,92,0,6,0,0,52.5,38
29,92,2,0,0,2,40.5,38
29,92,0,0,0,1,38.0,38
29,92,0,0,1,0,23.0,23
29,92,0,0,2,2,40.5,48
29,92,1,1,3,1,37.333333333333336,33
29,92,1,3,0,0,54.75,57
29,92,2,0,0,0,47.5,62
29,92,0,0,1,0,23.0,23
29,92,2,5,12,13,40.34375,38
29,92,0,1,0,0,38.0,38
29,92,1,0,0,1,47.5,33
29,92,0,0,0,3,43.0,43
29,92,0,0,1,0,33.0,33
29,92,0,0,5,1,34.666666666666664,38
29,92,0,0,3,0,36.333333333333336,33
29,92,3,0,1,0,34.25,28
29,92,0,5,1,0,49.0,33
29,92,0,1,0,0,38.0,38
44,92,0,0,5,0,40.0,48
34,92,0,0,33,16,42.285714285714285,38
29,92,0,1,0,0,67.0,67
29,92,5,6,0,0,47.54545454545455,38
29,92,4,0,4,0,45.375,48
29,92,0,5,0,1,51.666666666666664,43
29,92,6,13,0,8,46.592592592592595,43
29,92,1,0,0,11,38.416666666666664,43
29,92,0,1,0,0,57.0,57
29,92,0,1,0,0,67.0,67
29,92,2,0,0,2,43.0,48
29,92,1,0,0,1,40.5,38
29,92,0,3,0,0,57.0,57
29,92,1,0,0,0,33.0,33
29,92,4,1,4,5,42.214285714285715,62
29,92,0,0,0,9,33.55555555555556,23
29,92,8,8,2,0,48.666666666666664,48
29,92,14,0,17,13,39.5,38
29,92,0,0,0,2,33.0,28
29,92,2,0,5,4,32.90909090909091,33
29,92,0,0,4,5,36.333333333333336,43
29,92,15,2,0,0,45.35294117647059,38
29,92,2,0,0,0,40.5,43
29,92,0,0,3,2,37.4,28
29,92,0,0,1,0,57.0,57
29,92,11,4,4,0,50.05263157894737,38
29,92,2,0,4,0,42.0,62
29,92,0,1,7,4,36.333333333333336,48
29,92,3,0,1,3,37.285714285714285,38
29,92,0,8,13,10,40.645161290322584,43
9,92,3,3,2,0,45.125,62
29,92,0,2,2,1,46.8,38
29,92,0,0,1,0,48.0,48
29,92,5,0,1,0,42.333333333333336,20
29,92,5,10,10,5,38.43333333333333,43
29,92,0,4,0,0,58.25,52
29,92,0,3,0,0,39.666666666666664,38
29,92,0,0,1,0,28.0,28
29,92,0,2,0,0,47.5,57
29,92,3,7,0,0,48.1,62
29,92,1,1,8,1,42.0,48
29,92,1,0,0,0,38.0,38
29,92,1,0,0,0,62.0,62
29,92,9,1,0,1,41.81818181818182,38
29,92,9,4,6,0,45.578947368421055,20
29,92,1,0,2,22,37.0,28
29,92,6,1,1,2,48.5,52
29,92,0,6,0,0,50.0,48
29,92,0,5,0,1,44.333333333333336,48
29,92,6,0,0,0,45.666666666666664,38
29,92,7,0,0,0,47.57142857142857,62
29,92,0,0,11,0,37.36363636363637,28
29,92,0,0,0,2,40.5,38
29,92,9,8,9,5,47.483870967741936,38
29,92,0,0,2,0,40.5,48
29,92,6,1,0,2,43.333333333333336,43
44,92,0,0,1,0,33.0,33
44,92,0,0,1,0,28.0,28
29,92,0,0,6,0,37.0,52
29,92,0,2,2,0,44.0,48
29,92,0,1,0,0,52.0,52
29,92,1,0,1,0,38.0,33
29,92,12,0,1,0,50.15384615384615,23
29,92,0,7,0,4,48.72727272727273,38
29,92,0,3,6,0,39.111111111111114,28
29,92,1,3,1,2,48.142857142857146,28
29,92,4,0,0,2,33.833333333333336,33
29,92,0,0,8,1,37.888888888888886,20
29,92,1,0,2,0,34.666666666666664,48
29,92,1,6,6,1,39.57142857142857,33
29,92,2,0,0,0,52.5,43
29,92,0,1,1,2,47.75,67
29,92,0,9,5,17,38.806451612903224,20
29,92,0,2,1,0,46.0,52
29,92,1,0,0,0,38.0,38
29,92,0,8,2,0,46.6,20
29,92,0,0,0,1,28.0,28
29,92,9,0,1,4,47.92857142857143,33
29,92,0,1,3,0,44.25,48
29,92,0,1,0,0,57.0,57
29,92,1,0,15,0,41.6875,28
29,92,1,3,2,3,40.55555555555556,43
29,92,0,0,0,3,36.333333333333336,43
28,92,6,0,1,4,46.90909090909091,38
29,92,0,2,0,0,62.0,57
29,92,0,2,0,0,62.0,62
9,92,18,3,4,0,49.96,82
29,92,17,0,0,0,47.529411764705884,38
29,92,0,1,1,0,33.0,28
29,92,0,0,2,0,54.5,57
24,92,6,1,2,0,49.44444444444444,48
24,92,0,3,0,0,52.333333333333336,38
9,92,1,0,0,0,43.0,43
29,92,0,0,0,2,35.5,38
29,92,0,10,3,0,51.30769230769231,48
29,92,4,0,0,9,42.69230769230769,33
29,92,1,0,1,0,55.0,62
29,92,0,0,0,12,37.583333333333336,43
29,92,0,0,0,1,33.0,33
29,92,0,2,0,3,39.0,38
29,92,0,6,3,6,43.4,38
29,92,0,0,1,3,35.5,48
29,92,0,2,0,0,43.0,43
29,92,2,2,0,3,42.857142857142854,43
29,92,4,0,1,0,52.6,48
9,92,1,0,0,0,43.0,43
29,92,4,7,4,2,46.11764705882353,28
29,92,1,0,0,0,82.0,82
29,92,0,10,1,5,44.5625,38
29,92,1,0,0,3,41.5,72
29,92,3,5,4,17,41.724137931034484,43
29,92,16,0,5,0,49.095238095238095,28
29,92,2,4,0,14,38.6,57
29,92,0,1,0,0,57.0,57
29,92,0,10,0,0,51.8,52
29,92,0,3,0,3,50.0,43
29,92,1,0,1,0,40.5,33
29,92,0,1,0,0,52.0,52
29,92,0,1,0,0,57.0,57
29,92,1,0,0,1,40.5,38
29,92,2,4,7,0,43.84615384615385,38
29,92,0,1,1,0,62.0,67
29,92,1,0,1,2,47.75,38
29,92,0,0,0,5,32.0,28
29,92,1,1,1,3,37.0,23
29,92,16,4,26,0,43.369565217391305,28
29,92,0,0,1,0,55.0,55
29,92,2,2,1,1,46.833333333333336,48
29,92,4,0,4,2,30.7,38
29,92,3,1,0,4,38.5,57
29,92,0,0,1,0,48.0,48
29,92,0,0,0,1,38.0,38
29,92,1,2,1,0,48.75,33
29,92,3,0,0,0,47.666666666666664,62
29,92,4,4,3,1,34.166666666666664,23
29,92,0,0,0,2,23.0,23
29,92,0,0,1,0,18.0,18
29,92,1,5,0,2,42.625,33
29,92,3,7,0,5,42.0,23
29,92,0,0,0,4,41.75,43
9,92,3,3,2,0,40.25,33
29,92,0,0,0,1,33.0,33
29,92,2,0,0,0,38.0,38
29,92,0,9,0,0,51.77777777777778,52
29,92,0,1,0,0,52.0,52
46,92,0,0,1,2,38.0,43
29,92,1,0,0,0,62.0,62
44,92,5,0,1,7,44.84615384615385,23
29,92,0,0,1,0,28.0,28
29,92,3,0,3,0,37.666666666666664,43
29,92,1,0,0,0,28.0,28
29,92,0,0,0,1,48.0,48
29,92,0,0,2,1,43.0,48
29,92,2,1,2,5,41.9,48
29,92,2,4,5,14,43.8,65
29,92,0,0,1,0,48.0,48
29,92,1,0,0,0,33.0,33
29,92,0,3,5,0,44.125,57
29,92,4,4,3,0,44.90909090909091,38
29,92,1,1,3,4,41.666666666666664,38
29,92,8,0,0,6,38.57142857142857,23
29,92,2,0,1,0,59.0,62
29,92,2,0,2,0,57.0,48
29,92,3,2,1,2,43.25,67
29,92,0,2,2,4,42.25,28
29,92,3,0,10,0,44.46153846153846,38
29,92,0,3,0,0,65.33333333333333,67
29,92,0,2,5,0,37.714285714285715,57
29,92,0,3,0,4,45.57142857142857,48
29,92,0,3,3,2,44.25,67
9,92,5,2,0,0,50.285714285714285,57
9,92,0,2,0,0,54.5,57
29,92,1,4,0,0,58.2,43
9,92,0,4,0,0,58.5,62
29,92,11,0,0,5,42.25,33
29,92,8,7,0,17,39.15625,62
29,92,0,0,0,5,37.0,28
9,92,1,0,3,0,52.5,57
29,92,2,0,6,0,37.375,28
29,92,1,1,0,0,38.0,38
29,92,3,0,1,0,52.5,72
29,92,1,0,2,5,36.125,38
29,92,1,0,0,0,28.0,28
29,92,0,1,0,3,32.75,57
44,92,1,0,0,0,43.0,43
29,92,0,1,0,0,57.0,57
44,92,0,1,1,0,40.5,38
44,92,0,0,0,1,43.0,43
29,92,5,1,0,0,50.333333333333336,52
29,92,1,0,0,2,39.666666666666664,38
29,92,0,0,0,6,37.166666666666664,28
29,92,4,0,3,0,38.0,28
29,92,1,0,0,0,28.0,28
29,92,8,9,10,0,43.44444444444444,43
29,92,1,0,0,0,43.0,43
29,92,0,0,0,2,35.5,38
29,92,5,0,0,1,45.333333333333336,38
29,92,3,0,0,3,40.333333333333336,62
29,92,4,0,0,6,38.9,33
29,92,1,3,2,0,41.833333333333336,52
29,92,0,5,0,0,54.4,38
29,92,1,0,0,0,38.0,38
29,92,2,0,0,2,46.0,43
29,92,0,0,0,10,35.5,43
29,92,0,2,0,3,41.8,23
29,92,0,6,0,0,57.166666666666664,67
29,92,0,0,0,1,28.0,28
29,92,1,1,0,0,59.5,57
29,92,4,3,1,4,48.416666666666664,62
29,92,1,2,0,0,41.333333333333336,43
29,92,0,1,1,2,35.5,23
29,92,0,0,0,2,33.0,38
15,92,1,1,0,0,52.5,67
9,92,6,0,2,0,42.125,28
29,92,2,3,4,0,39.666666666666664,20
24,92,1,9,12,0,45.95454545454545,38
29,92,4,2,1,1,46.375,38
29,92,0,2,1,0,42.0,38
29,92,1,0,0,0,62.0,62
29,92,2,3,4,1,43.6,52
29,92,2,0,0,0,35.5,38
9,92,1,0,0,0,62.0,62
9,92,1,0,0,0,38.0,38
29,92,0,0,0,1,38.0,38
24,92,2,12,3,0,48.94117647058823,43
9,92,3,0,0,0,44.333333333333336,38
29,92,0,0,1,0,50.0,50
29,92,4,1,0,1,43.5,38
24,92,2,2,5,0,44.888888888888886,38
29,92,0,0,1,0,57.0,57
9,92,6,0,0,0,50.833333333333336,62
46,92,0,1,0,0,57.0,57
46,92,0,0,1,0,43.0,43
46,92,0,1,0,0,52.0,52
46,92,0,0,1,0,28.0,28
46,92,1,0,0,0,43.0,43
46,92,1,0,0,0,38.0,38
46,92,0,1,0,0,52.0,52
46,92,1,0,0,0,62.0,62
46,92,0,0,1,0,48.0,48
9,92,0,1,0,0,67.0,67
9,92,7,5,3,0,51.8,62
29,92,0,0,1,0,48.0,48
9,92,1,0,0,0,38.0,38
9,92,7,0,0,0,47.714285714285715,60
29,92,1,0,0,0,62.0,62
29,92,1,2,0,0,42.666666666666664,52
29,92,2,0,2,0,41.0,43
29,92,0,4,0,0,57.0,52
29,92,7,3,3,2,51.266666666666666,23
29,92,22,0,0,9,45.806451612903224,43
29,92,0,2,0,0,38.0,38
29,92,2,0,0,0,61.0,62
29,92,9,7,10,0,47.0,57
29,92,4,0,0,0,47.75,38
29,92,1,5,0,8,42.285714285714285,38
9,92,0,0,6,0,38.333333333333336,33
46,92,6,0,4,0,45.3,28
9,92,6,1,1,0,44.625,62
16,92,8,0,0,0,50.75,43
46,92,1,2,0,0,46.0,62
29,92,0,0,0,5,36.0,38
29,92,2,3,3,0,45.0,38
44,92,1,0,0,0,38.0,38
29,92,1,0,0,1,40.5,38
29,92,0,1,0,0,52.0,52
29,92,4,9,2,6,39.904761904761905,43
29,92,0,0,1,1,45.5,43
29,92,2,2,0,2,50.166666666666664,67
29,92,1,0,0,0,38.0,38
9,92,1,0,2,0,34.666666666666664,26
9,92,2,0,0,0,60.0,82
9,92,4,0,0,0,46.5,28
9,92,0,3,0,0,52.0,52
9,92,5,4,0,0,47.77777777777778,57
9,92,0,1,0,0,38.0,38
9,92,0,2,4,0,33.333333333333336,28
9,92,0,6,0,0,49.0,62
29,92,0,0,1,1,35.5,28
29,92,1,2,0,0,46.0,48
29,92,1,0,1,0,33.0,33
29,92,0,0,2,0,48.0,48
29,92,0,0,0,2,35.5,33
29,92,0,0,0,1,28.0,28
29,92,1,4,0,11,44.4375,62
29,92,1,0,1,0,45.0,62
29,92,3,0,0,1,30.5,28
29,92,0,1,0,8,34.111111111111114,33
29,92,1,1,0,0,47.5,52
29,92,3,6,3,3,44.86666666666667,23
29,92,1,1,0,0,47.5,52
29,92,0,0,2,0,27.0,26
29,92,3,3,0,3,44.888888888888886,38
29,92,5,3,5,0,42.38461538461539,48
28,92,2,0,0,2,46.25,62
9,92,35,5,0,0,46.35,62
29,92,0,0,0,6,40.5,33
9,92,4,1,1,0,53.5,48
29,92,0,3,0,2,46.4,57
29,92,8,0,2,2,47.75,62
29,92,2,0,0,0,52.5,43
29,92,0,0,1,0,48.0,48
29,92,0,0,4,0,41.5,28
44,92,0,2,0,1,54.0,48
29,92,0,5,0,0,52.2,38
29,92,1,3,1,3,47.5,57
29,92,0,0,6,0,38.0,48
29,92,0,2,7,0,51.77777777777778,55
29,92,2,0,0,0,50.0,62
29,92,1,1,2,0,45.0,57
9,92,3,0,1,0,31.75,33
29,93,2,6,8,0,45.8125,48
29,93,2,0,2,0,45.0,28
29,93,0,3,0,4,44.142857142857146,33
29,93,5,0,3,4,44.083333333333336,28
29,93,6,0,0,4,40.9,33
29,93,0,0,3,0,51.0,57
9,93,0,0,5,0,37.0,28
9,93,3,2,12,0,43.05882352941177,57
29,93,7,3,1,4,41.2,38
29,93,0,1,2,2,40.8,57
29,93,5,0,3,2,42.0,52
9,93,1,4,0,0,44.6,33
46,93,13,0,0,0,53.0,38
29,93,0,1,0,0,67.0,67
29,93,0,0,2,1,39.333333333333336,38
9,93,0,21,4,0,48.0,33
29,93,0,3,0,0,49.0,43
9,93,2,0,1,0,39.666666666666664,48
9,93,2,0,0,0,45.0,28
29,93,3,0,0,0,46.0,43
24,93,0,14,9,0,50.130434782608695,57
29,93,0,0,0,2,23.0,23
9,93,0,2,0,0,54.5,52
29,93,15,14,2,0,46.0,38
29,93,0,0,0,2,38.0,38
9,93,1,2,3,0,44.333333333333336,48
9,93,1,5,0,0,45.166666666666664,48
29,93,0,4,0,1,47.4,33
24,93,4,0,0,0,56.0,38
29,93,0,0,3,0,50.0,52
10,93,4,2,4,0,38.4,38
29,93,0,5,0,0,43.8,38
46,93,2,0,0,0,33.0,33
9,93,2,0,2,0,39.25,48
29,93,4,4,3,16,43.51851851851852,43
29,93,13,0,19,1,39.484848484848484,38
29,93,3,3,9,8,43.65217391304348,38
41,93,1,0,0,1,55.0,38
29,93,3,2,0,1,52.333333333333336,28
24,93,3,3,1,0,41.285714285714285,23
9,93,4,6,3,0,47.23076923076923,38
9,93,4,0,0,0,56.25,62
9,93,1,0,6,0,38.0,28
24,93,0,2,0,0,57.0,57
29,93,0,6,6,7,39.94736842105263,38
29,93,1,0,1,5,39.285714285714285,33
29,93,0,1,1,1,46.0,33
29,93,8,8,5,5,45.38461538461539,43
29,93,6,7,3,0,47.0625,62
29,93,0,0,1,0,28.0,28
29,93,0,2,0,0,45.0,52
29,93,2,1,0,2,39.8,62
29,93,0,4,0,0,56.0,57
29,93,2,5,4,1,47.333333333333336,43
41,93,1,0,0,1,55.0,38
29,93,1,0,6,0,36.857142857142854,57
9,93,6,5,0,0,48.27272727272727,60
9,93,1,1,0,0,40.5,43
29,93,0,0,6,0,32.166666666666664,28
9,93,4,2,0,0,42.666666666666664,38
9,93,0,0,3,0,48.0,48
9,93,3,9,13,0,42.12,60
29,93,3,0,1,2,43.666666666666664,38
9,93,4,0,0,0,40.5,43
27,93,0,6,13,6,42.4,28
9,93,0,0,1,0,43.0,43
29,93,1,0,6,6,40.0,18
29,93,0,1,0,0,57.0,57
9,93,1,1,0,0,45.0,52
29,93,0,2,0,4,38.666666666666664,43
29,93,1,0,2,2,39.8,28
29,93,0,0,1,0,28.0,28
29,93,2,7,0,0,52.333333333333336,62
29,93,3,2,1,0,46.0,48
29,93,0,0,1,0,28.0,28
24,93,16,10,3,1,45.93333333333333,28
24,93,3,0,0,0,47.666666666666664,38
7,93,1,2,4,0,37.142857142857146,33
24,93,7,0,9,0,45.9375,52
29,93,0,0,0,2,43.0,48
29,93,0,0,2,0,48.0,48
29,93,0,0,1,0,28.0,28
29,93,1,3,0,0,56.0,38
29,93,0,6,0,1,42.0,23
29,93,5,8,3,0,44.9375,52
29,93,11,0,9,13,40.39393939393939,28
29,93,1,1,0,1,52.333333333333336,33
29,93,3,0,1,0,42.25,50
9,93,1,0,0,0,62.0,62
29,93,0,0,0,1,43.0,43
29,93,0,0,0,3,38.0,33
29,93,0,0,1,0,52.0,52
29,93,0,0,1,0,28.0,28
9,93,0,2,0,0,40.5,38
24,93,12,0,0,0,48.666666666666664,62
29,93,0,2,0,0,38.0,38
29,93,5,0,0,4,46.333333333333336,43
21,93,0,0,0,18,35.22222222222222,38
9,93,1,0,0,0,62.0,62
29,93,1,0,1,0,38.0,48
9,93,5,4,0,0,48.111111111111114,57
29,93,0,0,0,2,30.5,28
9,93,1,0,0,0,33.0,33
21,93,5,0,0,0,45.8,43
21,93,2,0,2,0,40.5,48
29,93,0,4,0,13,41.64705882352941,43
29,93,7,0,0,19,38.34615384615385,43
29,93,0,0,1,0,33.0,33
9,93,4,2,0,0,54.833333333333336,57
10,93,9,0,0,0,49.888888888888886,43
41,93,0,1,0,1,35.5,28
29,93,0,1,0,0,67.0,67
29,93,0,0,0,1,43.0,43
29,93,0,4,0,0,42.75,38
29,93,0,0,0,1,38.0,38
29,93,4,0,0,0,39.25,43
9,93,2,3,4,0,49.22222222222222,48
9,93,6,1,3,1,47.45454545454545,38
29,93,2,0,0,0,61.0,60
29,93,2,1,2,5,41.0,48
29,93,0,0,0,2,46.5,65
9,93,0,1,0,0,52.0,52
29,93,3,0,0,3,46.0,62
29,93,0,5,3,10,43.72222222222222,48
29,93,2,2,1,0,37.8,28
29,93,10,5,3,15,41.303030303030305,28
29,93,9,2,7,2,43.3,28
29,93,2,3,4,0,39.44444444444444,57
29,93,9,1,4,0,43.142857142857146,43
29,93,1,1,0,2,43.75,28
29,93,4,3,0,0,44.0,38
29,93,0,1,2,0,51.0,48
29,93,3,5,1,6,45.93333333333333,62
29,93,4,0,0,1,37.0,33
29,93,0,1,3,0,36.75,43
29,93,8,2,2,2,47.714285714285715,28
29,93,0,1,3,1,40.8,57
29,93,2,2,1,2,47.0,43
29,93,2,6,2,1,44.0,38
29,93,0,1,0,0,67.0,67
29,93,0,0,0,1,38.0,38
29,93,0,0,3,2,36.0,28
29,93,2,3,1,0,45.833333333333336,57
29,93,7,5,3,5,46.1,43
29,93,0,0,1,2,31.333333333333332,38
29,93,1,0,3,1,35.4,20
29,93,6,1,2,6,45.2,52
29,93,1,2,1,1,40.6,23
29,93,0,0,3,4,40.142857142857146,48
29,93,0,0,0,1,43.0,43
29,93,3,2,2,3,37.4,38
29,93,2,5,2,0,53.111111111111114,48
29,93,1,3,0,0,47.5,48
29,93,6,0,2,10,37.77777777777778,33
29,93,0,0,0,1,28.0,28
29,93,1,0,0,0,38.0,38
29,93,0,0,5,2,38.714285714285715,33
29,93,0,2,0,0,50.0,57
29,93,1,0,0,1,30.5,33
29,93,0,1,0,0,62.0,62
29,93,0,16,2,42,37.916666666666664,57
29,93,0,1,0,1,50.0,43
29,93,0,0,3,1,40.75,20
29,93,4,0,0,8,40.0,33
29,93,0,0,1,0,28.0,28
29,93,0,8,0,0,49.5,67
29,93,2,0,1,2,37.8,23
29,93,10,0,1,0,52.90909090909091,62
29,93,2,0,0,0,52.5,62
38,93,0,0,0,5,38.0,43
34,93,0,2,47,0,44.265306122448976,57
34,93,1,0,0,0,62.0,62
29,93,4,0,4,2,36.4,33
29,93,1,0,0,0,62.0,62
29,93,2,0,0,0,62.0,62
29,93,0,4,0,5,39.0,38
29,93,0,8,3,0,48.45454545454545,57
29,93,2,0,0,0,49.0,60
29,93,1,0,1,0,45.5,48
29,93,1,1,0,0,38.0,38
29,93,0,2,2,1,41.8,52
29,93,2,1,0,0,60.333333333333336,62
29,93,0,1,1,1,51.666666666666664,48
9,93,3,1,1,0,42.6,38
29,93,1,0,1,0,25.5,28
29,93,4,0,4,3,46.72727272727273,33
29,93,0,0,0,1,65.0,65
29,93,0,0,0,2,40.5,38
29,93,0,0,1,0,48.0,48
29,93,0,4,0,0,52.5,38
29,93,1,0,0,2,38.0,38
29,93,3,1,0,0,57.25,38
29,93,0,0,1,0,48.0,48
9,93,1,0,3,0,41.0,28
29,93,0,1,0,0,57.0,57
29,93,0,2,1,1,41.5,43
29,93,0,0,1,0,48.0,48
29,93,0,2,0,0,62.0,57
29,93,1,7,0,5,46.30769230769231,33
29,93,16,0,0,4,43.05,28
29,93,10,0,0,0,47.2,28
29,93,0,0,3,0,36.333333333333336,48
29,93,0,3,5,0,45.875,48
29,93,3,0,0,0,36.333333333333336,33
29,93,2,1,1,0,42.75,38
9,93,4,4,4,0,41.083333333333336,52
29,93,1,0,0,1,50.0,38
29,93,6,0,0,0,51.666666666666664,82
29,93,0,6,3,0,51.44444444444444,38
29,93,1,0,0,0,62.0,62
29,93,2,0,0,0,38.0,33
29,93,3,2,2,0,51.285714285714285,43
29,93,2,4,20,9,42.142857142857146,38
29,93,1,0,0,0,43.0,43
29,93,0,0,0,1,43.0,43
29,93,1,0,0,0,62.0,62
29,93,1,0,4,2,44.857142857142854,28
29,93,8,3,16,1,43.214285714285715,33
29,93,0,0,1,0,48.0,48
29,93,0,4,0,0,56.0,57
29,93,0,2,0,2,45.0,38
29,93,0,3,0,0,52.0,52
29,93,1,0,0,0,62.0,62
29,93,1,0,1,7,32.888888888888886,28
29,93,0,3,0,0,50.666666666666664,57
29,93,2,2,0,1,41.6,28
29,93,4,0,2,0,39.5,28
29,93,2,0,0,2,33.0,38
29,93,1,0,0,0,72.0,72
29,93,0,0,0,4,34.25,43
29,93,9,0,4,3,42.5,28
29,93,1,0,0,2,36.333333333333336,28
29,93,2,1,0,0,51.666666666666664,33
29,93,0,3,0,0,52.333333333333336,38
29,93,0,0,0,5,41.0,38
29,93,0,0,1,2,34.666666666666664,38
29,93,3,0,0,1,44.0,33
29,93,0,1,0,0,62.0,62
29,93,0,0,2,3,39.0,38
29,93,1,2,1,0,50.25,62
29,93,1,8,0,0,51.333333333333336,57
29,93,0,1,0,6,37.857142857142854,33
29,93,0,0,10,0,44.2,55
29,93,0,0,2,1,46.333333333333336,43
29,93,1,7,4,7,42.94736842105263,52
